Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2017","11","02","15:30","10.4"
"Sodankylä Tähtelä","2017","11","02","15:40","11"
"Sodankylä Tähtelä","2017","11","02","15:50","10.3"
"Sodankylä Tähtelä","2017","11","02","16:00","10.1"
"Sodankylä Tähtelä","2017","11","02","16:10","11"
"Sodankylä Tähtelä","2017","11","02","16:20","11"
"Sodankylä Tähtelä","2017","11","02","16:30","11"
"Sodankylä Tähtelä","2017","11","02","16:40","11"
"Sodankylä Tähtelä","2017","11","02","16:50","11"
"Sodankylä Tähtelä","2017","11","02","17:00","10.4"
"Sodankylä Tähtelä","2017","11","02","17:10","10"
"Sodankylä Tähtelä","2017","11","02","17:20","10"
"Sodankylä Tähtelä","2017","11","02","17:30","10"
"Sodankylä Tähtelä","2017","11","02","17:40","10"
"Sodankylä Tähtelä","2017","11","02","17:50","10"
"Sodankylä Tähtelä","2017","11","02","18:00","10"
"Sodankylä Tähtelä","2017","11","02","18:10","10"
"Sodankylä Tähtelä","2017","11","02","18:20","10"
"Sodankylä Tähtelä","2017","11","02","18:30","10"
"Sodankylä Tähtelä","2017","11","02","18:40","10"
"Sodankylä Tähtelä","2017","11","02","18:50","10"
"Sodankylä Tähtelä","2017","11","02","19:00","10"
"Sodankylä Tähtelä","2017","11","02","19:10","10"
"Sodankylä Tähtelä","2017","11","02","19:20","10"
"Sodankylä Tähtelä","2017","11","02","19:30","10"
"Sodankylä Tähtelä","2017","11","02","19:40","10"
"Sodankylä Tähtelä","2017","11","02","19:50","10"
"Sodankylä Tähtelä","2017","11","02","20:00","10"
"Sodankylä Tähtelä","2017","11","02","20:10","10.9"
"Sodankylä Tähtelä","2017","11","02","20:20","10.7"
"Sodankylä Tähtelä","2017","11","02","20:30","10"
"Sodankylä Tähtelä","2017","11","02","20:40","10"
"Sodankylä Tähtelä","2017","11","02","20:50","10.9"
"Sodankylä Tähtelä","2017","11","02","21:00","10"
"Sodankylä Tähtelä","2017","11","02","21:10","10"
"Sodankylä Tähtelä","2017","11","02","21:20","10"
"Sodankylä Tähtelä","2017","11","02","21:30","10"
"Sodankylä Tähtelä","2017","11","02","21:40","10"
"Sodankylä Tähtelä","2017","11","02","21:50","10.9"
"Sodankylä Tähtelä","2017","11","02","22:00","11"
"Sodankylä Tähtelä","2017","11","02","22:10","11"
"Sodankylä Tähtelä","2017","11","02","22:20","11"
"Sodankylä Tähtelä","2017","11","02","22:30","10.7"
"Sodankylä Tähtelä","2017","11","02","22:40","10.7"
"Sodankylä Tähtelä","2017","11","02","22:50","11"
"Sodankylä Tähtelä","2017","11","02","23:00","11"
"Sodankylä Tähtelä","2017","11","02","23:10","11"
"Sodankylä Tähtelä","2017","11","02","23:20","11"
"Sodankylä Tähtelä","2017","11","02","23:30","11"
"Sodankylä Tähtelä","2017","11","02","23:40","11"
"Sodankylä Tähtelä","2017","11","02","23:50","11"
"Sodankylä Tähtelä","2017","11","03","00:00","11"
"Sodankylä Tähtelä","2017","11","03","00:10","11"
"Sodankylä Tähtelä","2017","11","03","00:20","11"
"Sodankylä Tähtelä","2017","11","03","00:30","11"
"Sodankylä Tähtelä","2017","11","03","00:40","11"
"Sodankylä Tähtelä","2017","11","03","00:50","10.9"
"Sodankylä Tähtelä","2017","11","03","01:00","11"
"Sodankylä Tähtelä","2017","11","03","01:10","11"
"Sodankylä Tähtelä","2017","11","03","01:20","11"
"Sodankylä Tähtelä","2017","11","03","01:30","11"
"Sodankylä Tähtelä","2017","11","03","01:40","10.9"
"Sodankylä Tähtelä","2017","11","03","01:50","11"
"Sodankylä Tähtelä","2017","11","03","02:00","11"
"Sodankylä Tähtelä","2017","11","03","02:10","11"
"Sodankylä Tähtelä","2017","11","03","02:20","10.6"
"Sodankylä Tähtelä","2017","11","03","02:30","10"
"Sodankylä Tähtelä","2017","11","03","02:40","10"
"Sodankylä Tähtelä","2017","11","03","02:50","10"
"Sodankylä Tähtelä","2017","11","03","03:00","10"
"Sodankylä Tähtelä","2017","11","03","03:10","10"
"Sodankylä Tähtelä","2017","11","03","03:20","10.2"
"Sodankylä Tähtelä","2017","11","03","03:30","10"
"Sodankylä Tähtelä","2017","11","03","03:40","11"
"Sodankylä Tähtelä","2017","11","03","03:50","10.9"
"Sodankylä Tähtelä","2017","11","03","04:00","10.4"
"Sodankylä Tähtelä","2017","11","03","04:10","11"
"Sodankylä Tähtelä","2017","11","03","04:20","10.1"
"Sodankylä Tähtelä","2017","11","03","04:30","10.2"
"Sodankylä Tähtelä","2017","11","03","04:40","10.2"
"Sodankylä Tähtelä","2017","11","03","04:50","11"
"Sodankylä Tähtelä","2017","11","03","05:00","10"
"Sodankylä Tähtelä","2017","11","03","05:10","10.7"
"Sodankylä Tähtelä","2017","11","03","05:20","11"
"Sodankylä Tähtelä","2017","11","03","05:30","11"
"Sodankylä Tähtelä","2017","11","03","05:40","11"
"Sodankylä Tähtelä","2017","11","03","05:50","10.3"
"Sodankylä Tähtelä","2017","11","03","06:00","10.7"
"Sodankylä Tähtelä","2017","11","03","06:10","10.9"
"Sodankylä Tähtelä","2017","11","03","06:20","11"
"Sodankylä Tähtelä","2017","11","03","06:30","11"
"Sodankylä Tähtelä","2017","11","03","06:40","11"
"Sodankylä Tähtelä","2017","11","03","06:50","11"
"Sodankylä Tähtelä","2017","11","03","07:00","11"
"Sodankylä Tähtelä","2017","11","03","07:10","11"
"Sodankylä Tähtelä","2017","11","03","07:20","11"
"Sodankylä Tähtelä","2017","11","03","07:30","11"
"Sodankylä Tähtelä","2017","11","03","07:40","10.3"
"Sodankylä Tähtelä","2017","11","03","07:50","10"
"Sodankylä Tähtelä","2017","11","03","08:00","10"
"Sodankylä Tähtelä","2017","11","03","08:10","10"
"Sodankylä Tähtelä","2017","11","03","08:20","10.4"
"Sodankylä Tähtelä","2017","11","03","08:30","11"
"Sodankylä Tähtelä","2017","11","03","08:40","11"
"Sodankylä Tähtelä","2017","11","03","08:50","11"
"Sodankylä Tähtelä","2017","11","03","09:00","11"
"Sodankylä Tähtelä","2017","11","03","09:10","11"
"Sodankylä Tähtelä","2017","11","03","09:20","11"
"Sodankylä Tähtelä","2017","11","03","09:30","11"
"Sodankylä Tähtelä","2017","11","03","09:40","11"
"Sodankylä Tähtelä","2017","11","03","09:50","11"
"Sodankylä Tähtelä","2017","11","03","10:00","10.6"
"Sodankylä Tähtelä","2017","11","03","10:10","10"
"Sodankylä Tähtelä","2017","11","03","10:20","10"
"Sodankylä Tähtelä","2017","11","03","10:30","10"
"Sodankylä Tähtelä","2017","11","03","10:40","10"
"Sodankylä Tähtelä","2017","11","03","10:50","10"
"Sodankylä Tähtelä","2017","11","03","11:00","10"
"Sodankylä Tähtelä","2017","11","03","11:10","10"
"Sodankylä Tähtelä","2017","11","03","11:20","10"
"Sodankylä Tähtelä","2017","11","03","11:30","10"
"Sodankylä Tähtelä","2017","11","03","11:40","10"
