Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2012","03","20","06:10","73"
"Sodankylä Tähtelä","2012","03","20","06:20","73"
"Sodankylä Tähtelä","2012","03","20","06:30","73"
"Sodankylä Tähtelä","2012","03","20","06:40","73"
"Sodankylä Tähtelä","2012","03","20","06:50","73"
"Sodankylä Tähtelä","2012","03","20","07:00","73"
"Sodankylä Tähtelä","2012","03","20","07:10","73"
"Sodankylä Tähtelä","2012","03","20","07:20","73"
"Sodankylä Tähtelä","2012","03","20","07:30","73"
"Sodankylä Tähtelä","2012","03","20","07:40","73"
"Sodankylä Tähtelä","2012","03","20","07:50","73"
"Sodankylä Tähtelä","2012","03","20","08:00","73.5"
"Sodankylä Tähtelä","2012","03","20","08:10","73.5"
"Sodankylä Tähtelä","2012","03","20","08:20","73"
"Sodankylä Tähtelä","2012","03","20","08:30","73.5"
"Sodankylä Tähtelä","2012","03","20","08:40","74"
"Sodankylä Tähtelä","2012","03","20","08:50","73.5"
"Sodankylä Tähtelä","2012","03","20","09:00","73"
"Sodankylä Tähtelä","2012","03","20","09:10","73"
"Sodankylä Tähtelä","2012","03","20","09:20","73"
"Sodankylä Tähtelä","2012","03","20","09:30","73"
"Sodankylä Tähtelä","2012","03","20","09:40","73"
"Sodankylä Tähtelä","2012","03","20","09:50","73"
"Sodankylä Tähtelä","2012","03","20","10:00","73"
"Sodankylä Tähtelä","2012","03","20","10:10","73"
"Sodankylä Tähtelä","2012","03","20","10:20","73"
"Sodankylä Tähtelä","2012","03","20","10:30","73"
"Sodankylä Tähtelä","2012","03","20","10:40","73"
"Sodankylä Tähtelä","2012","03","20","10:50","73"
"Sodankylä Tähtelä","2012","03","20","11:00","73"
"Sodankylä Tähtelä","2012","03","20","11:10","73"
"Sodankylä Tähtelä","2012","03","20","11:20","73"
"Sodankylä Tähtelä","2012","03","20","11:30","73"
"Sodankylä Tähtelä","2012","03","20","11:40","73"
"Sodankylä Tähtelä","2012","03","20","11:50","73"
"Sodankylä Tähtelä","2012","03","20","12:00","73"
"Sodankylä Tähtelä","2012","03","20","12:10","73"
"Sodankylä Tähtelä","2012","03","20","12:20","73"
"Sodankylä Tähtelä","2012","03","20","12:30","73"
"Sodankylä Tähtelä","2012","03","20","12:40","73"
"Sodankylä Tähtelä","2012","03","20","12:50","73"
"Sodankylä Tähtelä","2012","03","20","13:00","73"
"Sodankylä Tähtelä","2012","03","20","13:10","73"
"Sodankylä Tähtelä","2012","03","20","13:20","73"
"Sodankylä Tähtelä","2012","03","20","13:30","73"
"Sodankylä Tähtelä","2012","03","20","13:40","73"
"Sodankylä Tähtelä","2012","03","20","13:50","73"
"Sodankylä Tähtelä","2012","03","20","14:00","73"
"Sodankylä Tähtelä","2012","03","20","14:10","73"
"Sodankylä Tähtelä","2012","03","20","14:20","73"
"Sodankylä Tähtelä","2012","03","20","14:30","73"
"Sodankylä Tähtelä","2012","03","20","14:40","73"
"Sodankylä Tähtelä","2012","03","20","14:50","73"
"Sodankylä Tähtelä","2012","03","20","15:00","73"
"Sodankylä Tähtelä","2012","03","20","15:10","73"
"Sodankylä Tähtelä","2012","03","20","15:20","73"
"Sodankylä Tähtelä","2012","03","20","15:30","73"
"Sodankylä Tähtelä","2012","03","20","15:40","73"
"Sodankylä Tähtelä","2012","03","20","15:50","73"
"Sodankylä Tähtelä","2012","03","20","16:00","73"
"Sodankylä Tähtelä","2012","03","20","16:10","73"
"Sodankylä Tähtelä","2012","03","20","16:20","73"
"Sodankylä Tähtelä","2012","03","20","16:30","73"
"Sodankylä Tähtelä","2012","03","20","16:40","73"
"Sodankylä Tähtelä","2012","03","20","16:50","73"
"Sodankylä Tähtelä","2012","03","20","17:00","73"
"Sodankylä Tähtelä","2012","03","20","17:10","73"
"Sodankylä Tähtelä","2012","03","20","17:20","73"
"Sodankylä Tähtelä","2012","03","20","17:30","73"
"Sodankylä Tähtelä","2012","03","20","17:40","73"
"Sodankylä Tähtelä","2012","03","20","17:50","73"
"Sodankylä Tähtelä","2012","03","20","18:00","73"
"Sodankylä Tähtelä","2012","03","20","18:10","73"
"Sodankylä Tähtelä","2012","03","20","18:20","73"
"Sodankylä Tähtelä","2012","03","20","18:30","73"
"Sodankylä Tähtelä","2012","03","20","18:40","73"
"Sodankylä Tähtelä","2012","03","20","18:50","73"
"Sodankylä Tähtelä","2012","03","20","19:00","73"
"Sodankylä Tähtelä","2012","03","20","19:10","73"
"Sodankylä Tähtelä","2012","03","20","19:20","73"
"Sodankylä Tähtelä","2012","03","20","19:30","73"
"Sodankylä Tähtelä","2012","03","20","19:40","73"
"Sodankylä Tähtelä","2012","03","20","19:50","73"
"Sodankylä Tähtelä","2012","03","20","20:00","73"
"Sodankylä Tähtelä","2012","03","20","20:10","73"
"Sodankylä Tähtelä","2012","03","20","20:20","73"
"Sodankylä Tähtelä","2012","03","20","20:30","73"
"Sodankylä Tähtelä","2012","03","20","20:40","73"
"Sodankylä Tähtelä","2012","03","20","20:50","73"
"Sodankylä Tähtelä","2012","03","20","21:00","73"
"Sodankylä Tähtelä","2012","03","20","21:10","73"
"Sodankylä Tähtelä","2012","03","20","21:20","73"
"Sodankylä Tähtelä","2012","03","20","21:30","73"
"Sodankylä Tähtelä","2012","03","20","21:40","73"
"Sodankylä Tähtelä","2012","03","20","21:50","73"
"Sodankylä Tähtelä","2012","03","20","22:00","73"
"Sodankylä Tähtelä","2012","03","20","22:10","73"
"Sodankylä Tähtelä","2012","03","20","22:20","73"
"Sodankylä Tähtelä","2012","03","20","22:30","73"
"Sodankylä Tähtelä","2012","03","20","22:40","73"
"Sodankylä Tähtelä","2012","03","20","22:50","73"
"Sodankylä Tähtelä","2012","03","20","23:00","73"
"Sodankylä Tähtelä","2012","03","20","23:10","73"
"Sodankylä Tähtelä","2012","03","20","23:20","73"
"Sodankylä Tähtelä","2012","03","20","23:30","73"
"Sodankylä Tähtelä","2012","03","20","23:40","73"
"Sodankylä Tähtelä","2012","03","20","23:50","73"
"Sodankylä Tähtelä","2012","03","21","00:00","73"
"Sodankylä Tähtelä","2012","03","21","00:10","73"
"Sodankylä Tähtelä","2012","03","21","00:20","73"
"Sodankylä Tähtelä","2012","03","21","00:30","73"
"Sodankylä Tähtelä","2012","03","21","00:40","73"
"Sodankylä Tähtelä","2012","03","21","00:50","73"
"Sodankylä Tähtelä","2012","03","21","01:00","73"
"Sodankylä Tähtelä","2012","03","21","01:10","73"
"Sodankylä Tähtelä","2012","03","21","01:20","73"
"Sodankylä Tähtelä","2012","03","21","01:30","73"
"Sodankylä Tähtelä","2012","03","21","01:40","73"
"Sodankylä Tähtelä","2012","03","21","01:50","73"
"Sodankylä Tähtelä","2012","03","21","02:00","73"
"Sodankylä Tähtelä","2012","03","21","02:10","73"
"Sodankylä Tähtelä","2012","03","21","02:20","73"
"Sodankylä Tähtelä","2012","03","21","02:30","73"
"Sodankylä Tähtelä","2012","03","21","02:40","73"
"Sodankylä Tähtelä","2012","03","21","02:50","73"
"Sodankylä Tähtelä","2012","03","21","03:00","73"
"Sodankylä Tähtelä","2012","03","21","03:10","73"
"Sodankylä Tähtelä","2012","03","21","03:20","73"
"Sodankylä Tähtelä","2012","03","21","03:30","73"
"Sodankylä Tähtelä","2012","03","21","03:40","73"
"Sodankylä Tähtelä","2012","03","21","03:50","73"
"Sodankylä Tähtelä","2012","03","21","04:00","73"
"Sodankylä Tähtelä","2012","03","21","04:10","73"
"Sodankylä Tähtelä","2012","03","21","04:20","73"
"Sodankylä Tähtelä","2012","03","21","04:30","73"
"Sodankylä Tähtelä","2012","03","21","04:40","73"
"Sodankylä Tähtelä","2012","03","21","04:50","73"
"Sodankylä Tähtelä","2012","03","21","05:00","73"
"Sodankylä Tähtelä","2012","03","21","05:10","73"
"Sodankylä Tähtelä","2012","03","21","05:20","73"
"Sodankylä Tähtelä","2012","03","21","05:30","73"
"Sodankylä Tähtelä","2012","03","21","05:40","73"
"Sodankylä Tähtelä","2012","03","21","05:50","73"
"Sodankylä Tähtelä","2012","03","21","06:00","73"
"Sodankylä Tähtelä","2012","03","21","06:10","73"
"Sodankylä Tähtelä","2012","03","21","06:20","73"
"Sodankylä Tähtelä","2012","03","21","06:30","73"
"Sodankylä Tähtelä","2012","03","21","06:40","73"
"Sodankylä Tähtelä","2012","03","21","06:50","73"
"Sodankylä Tähtelä","2012","03","21","07:00","73"
"Sodankylä Tähtelä","2012","03","21","07:10","73"
"Sodankylä Tähtelä","2012","03","21","07:20","73"
"Sodankylä Tähtelä","2012","03","21","07:30","73"
"Sodankylä Tähtelä","2012","03","21","07:40","73"
"Sodankylä Tähtelä","2012","03","21","07:50","73"
"Sodankylä Tähtelä","2012","03","21","08:00","73"
"Sodankylä Tähtelä","2012","03","21","08:10","73"
"Sodankylä Tähtelä","2012","03","21","08:20","73"
"Sodankylä Tähtelä","2012","03","21","08:30","73"
"Sodankylä Tähtelä","2012","03","21","08:40","73"
"Sodankylä Tähtelä","2012","03","21","08:50","73"
"Sodankylä Tähtelä","2012","03","21","09:00","73"
"Sodankylä Tähtelä","2012","03","21","09:10","73"
"Sodankylä Tähtelä","2012","03","21","09:20","73"
"Sodankylä Tähtelä","2012","03","21","09:30","73"
"Sodankylä Tähtelä","2012","03","21","09:40","73"
"Sodankylä Tähtelä","2012","03","21","09:50","72.5"
"Sodankylä Tähtelä","2012","03","21","10:00","72.5"
"Sodankylä Tähtelä","2012","03","21","10:10","73"
"Sodankylä Tähtelä","2012","03","21","10:20","72.5"
"Sodankylä Tähtelä","2012","03","21","10:30","72"
"Sodankylä Tähtelä","2012","03","21","10:40","72"
"Sodankylä Tähtelä","2012","03","21","10:50","72.5"
"Sodankylä Tähtelä","2012","03","21","11:00","73"
"Sodankylä Tähtelä","2012","03","21","11:10","73"
"Sodankylä Tähtelä","2012","03","21","11:20","73"
"Sodankylä Tähtelä","2012","03","21","11:30","73"
"Sodankylä Tähtelä","2012","03","21","11:40","73"
"Sodankylä Tähtelä","2012","03","21","11:50","73"
"Sodankylä Tähtelä","2012","03","21","12:00","73"
"Sodankylä Tähtelä","2012","03","21","12:10","73"
"Sodankylä Tähtelä","2012","03","21","12:20","73"
"Sodankylä Tähtelä","2012","03","21","12:30","73"
"Sodankylä Tähtelä","2012","03","21","12:40","73"
"Sodankylä Tähtelä","2012","03","21","12:50","73"
"Sodankylä Tähtelä","2012","03","21","13:00","73"
"Sodankylä Tähtelä","2012","03","21","13:10","73"
"Sodankylä Tähtelä","2012","03","21","13:20","73"
"Sodankylä Tähtelä","2012","03","21","13:30","73"
"Sodankylä Tähtelä","2012","03","21","13:40","72.5"
"Sodankylä Tähtelä","2012","03","21","13:50","72"
"Sodankylä Tähtelä","2012","03","21","14:00","72.5"
"Sodankylä Tähtelä","2012","03","21","14:10","72.5"
"Sodankylä Tähtelä","2012","03","21","14:20","72"
"Sodankylä Tähtelä","2012","03","21","14:30","72.5"
"Sodankylä Tähtelä","2012","03","21","14:40","73"
"Sodankylä Tähtelä","2012","03","21","14:50","73"
"Sodankylä Tähtelä","2012","03","21","15:00","73"
"Sodankylä Tähtelä","2012","03","21","15:10","73"
"Sodankylä Tähtelä","2012","03","21","15:20","73"
"Sodankylä Tähtelä","2012","03","21","15:30","72.5"
"Sodankylä Tähtelä","2012","03","21","15:40","72.5"
"Sodankylä Tähtelä","2012","03","21","15:50","73"
"Sodankylä Tähtelä","2012","03","21","16:00","73"
"Sodankylä Tähtelä","2012","03","21","16:10","73"
"Sodankylä Tähtelä","2012","03","21","16:20","73"
"Sodankylä Tähtelä","2012","03","21","16:30","73"
"Sodankylä Tähtelä","2012","03","21","16:40","73"
"Sodankylä Tähtelä","2012","03","21","16:50","73"
"Sodankylä Tähtelä","2012","03","21","17:00","73"
"Sodankylä Tähtelä","2012","03","21","17:10","73"
"Sodankylä Tähtelä","2012","03","21","17:20","73"
"Sodankylä Tähtelä","2012","03","21","17:30","73"
"Sodankylä Tähtelä","2012","03","21","17:40","73"
"Sodankylä Tähtelä","2012","03","21","17:50","73"
"Sodankylä Tähtelä","2012","03","21","18:00","73"
"Sodankylä Tähtelä","2012","03","21","18:10","73"
"Sodankylä Tähtelä","2012","03","21","18:20","73"
"Sodankylä Tähtelä","2012","03","21","18:30","73"
"Sodankylä Tähtelä","2012","03","21","18:40","73"
"Sodankylä Tähtelä","2012","03","21","18:50","73"
"Sodankylä Tähtelä","2012","03","21","19:00","73"
"Sodankylä Tähtelä","2012","03","21","19:10","73"
"Sodankylä Tähtelä","2012","03","21","19:20","73"
"Sodankylä Tähtelä","2012","03","21","19:30","73"
"Sodankylä Tähtelä","2012","03","21","19:40","73"
"Sodankylä Tähtelä","2012","03","21","19:50","73"
"Sodankylä Tähtelä","2012","03","21","20:00","73"
"Sodankylä Tähtelä","2012","03","21","20:10","73"
"Sodankylä Tähtelä","2012","03","21","20:20","73"
"Sodankylä Tähtelä","2012","03","21","20:30","73"
"Sodankylä Tähtelä","2012","03","21","20:40","73"
"Sodankylä Tähtelä","2012","03","21","20:50","73"
"Sodankylä Tähtelä","2012","03","21","21:00","73"
"Sodankylä Tähtelä","2012","03","21","21:10","73"
"Sodankylä Tähtelä","2012","03","21","21:20","73"
"Sodankylä Tähtelä","2012","03","21","21:30","73"
"Sodankylä Tähtelä","2012","03","21","21:40","73"
"Sodankylä Tähtelä","2012","03","21","21:50","73"
"Sodankylä Tähtelä","2012","03","21","22:00","73"
"Sodankylä Tähtelä","2012","03","21","22:10","73"
"Sodankylä Tähtelä","2012","03","21","22:20","73"
"Sodankylä Tähtelä","2012","03","21","22:30","73"
"Sodankylä Tähtelä","2012","03","21","22:40","73"
"Sodankylä Tähtelä","2012","03","21","22:50","73"
"Sodankylä Tähtelä","2012","03","21","23:00","73"
"Sodankylä Tähtelä","2012","03","21","23:10","73"
"Sodankylä Tähtelä","2012","03","21","23:20","73"
"Sodankylä Tähtelä","2012","03","21","23:30","73"
"Sodankylä Tähtelä","2012","03","21","23:40","73"
"Sodankylä Tähtelä","2012","03","21","23:50","73"
"Sodankylä Tähtelä","2012","03","22","00:00","73"
"Sodankylä Tähtelä","2012","03","22","00:10","73"
"Sodankylä Tähtelä","2012","03","22","00:20","73"
"Sodankylä Tähtelä","2012","03","22","00:30","73"
"Sodankylä Tähtelä","2012","03","22","00:40","73"
"Sodankylä Tähtelä","2012","03","22","00:50","73"
"Sodankylä Tähtelä","2012","03","22","01:00","73"
"Sodankylä Tähtelä","2012","03","22","01:10","73"
"Sodankylä Tähtelä","2012","03","22","01:20","73"
"Sodankylä Tähtelä","2012","03","22","01:30","73"
"Sodankylä Tähtelä","2012","03","22","01:40","73"
"Sodankylä Tähtelä","2012","03","22","01:50","73"
"Sodankylä Tähtelä","2012","03","22","02:00","73"
"Sodankylä Tähtelä","2012","03","22","02:10","73"
"Sodankylä Tähtelä","2012","03","22","02:20","73"
"Sodankylä Tähtelä","2012","03","22","02:30","73"
"Sodankylä Tähtelä","2012","03","22","02:40","73"
